code	name	market	market_name	sectors	sector_codes	concepts	concept_codes	updated_at
sh600071	凤凰光学	sh_main	上证主板	光学元件|电子|光学光电子	BK1334|BK1201|BK1038	2025年报预增|电池技术|沪股通|央国企改革|安防概念|融资融券|锂电池概念|物联网	BK1677|BK1648|BK0707|BK0683|BK0667|BK0596|BK0574|BK0554	2026-06-20 11:26:42
sh600072	中船科技	sh_main	上证主板	风电零部件|电力设备|风电设备	BK1313|BK1200|BK1032	破增发价股|小盘股|标准普尔|富时罗素|PPP模式|航母概念|沪股通|央国企改革|海工装备|融资融券|风能|长江三角|军工	BK1673|BK1643|BK0879|BK0867|BK0721|BK0715|BK0707|BK0683|BK0601|BK0596|BK0595|BK0594|BK0490	2026-06-20 11:26:42
sh600073	光明肉业	sh_main	上证主板	肉制品|食品加工|食品饮料	BK1580|BK1280|BK0438	破增发价股|破净股|预制菜概念|猪肉概念|标准普尔|富时罗素|沪股通|央国企改革|沪企改革|融资融券|长江三角	BK1673|BK1112|BK1025|BK0882|BK0879|BK0867|BK0707|BK0683|BK0672|BK0596|BK0594	2026-06-20 11:26:42
sh600074	退市保千	sh_main	上证主板					2026-06-20 11:26:42
sh600075	新疆天业	sh_main	上证主板	氯碱|基础化工|化学原料	BK1418|BK1206|BK1019	破增发价股|破净股|储能概念|降解塑料|标准普尔|一带一路|沪股通|央国企改革|融资融券|西部大开发|转债标的|煤化工概念	BK1673|BK1112|BK0989|BK0909|BK0879|BK0712|BK0707|BK0683|BK0596|BK0590|BK0528|BK0492	2026-06-20 11:26:42
sh600076	康欣新材	sh_main	上证主板	综合包装|包装印刷|轻工制造	BK1536|BK1265|BK1212	碳交易|装配建筑|半导体概念|央国企改革|融资融券|新材料	BK0966|BK0945|BK0917|BK0683|BK0596|BK0523	2026-06-20 11:26:42
sh600077	*ST宋都	sh_main	上证主板					2026-06-20 11:26:42
sh600078	澄星股份	sh_main	上证主板	磷肥及磷化工|基础化工|农化制品	BK1435|BK1206|BK0731	2025年报扭亏|磷化工|长江三角|化工原料	BK1679|BK1010|BK0594|BK0512	2026-06-20 11:26:42
sh600079	ST人福	sh_main	上证主板	化学制剂|医药生物|化学制药	BK1594|BK1216|BK0465	精准诊断|病原体防治|创新药|辅助生殖|流感|富时罗素|体外诊断概念|MSCI中国|央国企改革|医疗器械概念|生物疫苗|ST股	BK1659|BK1657|BK1106|BK0939|BK0906|BK0867|BK0841|BK0821|BK0683|BK0668|BK0548|BK0511	2026-06-20 11:26:42
sh600080	ST金花	sh_main	上证主板	中药Ⅲ|医药生物|中药Ⅱ	BK1608|BK1216|BK1040	2025年报预减|破增发价股|独家药品|医疗器械概念|中药概念|西部大开发|ST股	BK1678|BK1673|BK0676|BK0668|BK0615|BK0590|BK0511	2026-06-20 11:26:42
